Country;Sector;Product CN Code;Description;2026 Default Value (Including mark-up);2027 Default Value (Including mark-up);2028 Default Value (Including mark-up)
Algeria;Iron and steel;722530;Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, in coils (excl. products of silicon-electrical steel);3,751;4,092;4,433
Algeria;Iron and steel;722540;Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, not in coils (excl. products of silicon-electrical steel);3,751;4,092;4,433
Algeria;Iron and steel;722550;"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"" (excl. products of silicon-electrical steel)";3,751;4,092;4,433
Algeria;Iron and steel;72259100;"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and electrolytically plated or coated with zinc (excl. products of silicon-electrical steel)";3,751;4,092;4,433
Algeria;Iron and steel;72259200;"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and plated or coated with zinc (excl. electrolytically plated or coated and products of silicon-electrical steel)";3,751;4,092;4,433
Algeria;Iron and steel;72259900;"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked (excl. plated or coated with zinc and products of silicon-electrical steel)";3,751;4,092;4,433
Algeria;Iron and steel;7226;"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced""";4,972;5,424;5,876
Algeria;Iron and steel;72261100;"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", grain-oriented";4,972;5,424;5,876
Algeria;Iron and steel;72261910;Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, not further worked than hot-rolled;3,751;4,092;4,433
Algeria;Iron and steel;72261980;"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, cold-rolled ""cold-reduced"", whether or not further worked, or hot-rolled and further worked, non-grain-oriented";3,751;4,092;4,433
Algeria;Iron and steel;72262000;"Flat-rolled products of high-speed steel, of a width of <= 600 mm, hot-rolled or cold-rolled ""cold-reduced""";3,751;4,092;4,433
Algeria;Iron and steel;722691;Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further worked than hot-rolled (excl. products of high-speed steel or silicon-electrical steel);3,751;4,092;4,433
Algeria;Iron and steel;72269200;"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced"" (excl. products of high-speed steel or silicon-electrical steel)";3,751;4,092;4,433
Algeria;Iron and steel;722699;"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked (excl. products of high-speed steel or silicon-electrical steel)";3,751;4,092;4,433
Algeria;Iron and steel;7227;Bars and rods of alloy steel other than stainless, hot-rolled, in irregularly wound coils;3,751;4,092;4,433
Algeria;Iron and steel;7228;"Other bars and rods of alloy steel other than stainless, angles, shapes and sections of alloy steel other than stainless, n.e.s.; hollow drill bars and rods, of alloy or non-alloy steel";3,751;4,092;4,433
Algeria;Iron and steel;72281020;Bars and rods of high-speed steel, not further worked than hot-rolled, hot-drawn or extruded, and hot-rolled, hot-drawn or extruded, not further worked than clad (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils);3,751;4,092;4,433
Algeria;Iron and steel;72281050;Bars and rods of high-speed steel, forged (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils);3,751;4,092;4,433
Algeria;Iron and steel;72281090;Bars and rods of high-speed steel, not further worked than cold-formed or cold-finished, whether or not further worked, or hot-formed and further worked (excl. forged products, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils);3,751;4,092;4,433
Algeria;Iron and steel;722820;Bars and rods of silico-manganese steel (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils);3,751;4,092;4,433
Algeria;Iron and steel;722830;Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn or extruded (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils);3,751;4,092;4,433
Algeria;Iron and steel;722840;Bars and rods of alloy steel other than stainless, not further worked than forged (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils);3,751;4,092;4,433
Algeria;Iron and steel;722850;Bars and rods of alloy steel other than stainless, not further worked than cold-formed or cold-finished (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils);3,751;4,092;4,433
Algeria;Iron and steel;722860;Bars and rods of alloy steel other than stainless, cold-formed or cold-finished and further worked or hot-formed and further worked, n.e.s. (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils);3,751;4,092;4,433
Algeria;Iron and steel;722870;Angles, shapes and sections of alloy steel other than stainless, n.e.s.;3,751;4,092;4,433
Algeria;Iron and steel;72288000;Hollow drill bars and rods, of alloy or non-alloy steel;3,751;4,092;4,433
Algeria;Iron and steel;7229;Wire of alloy steel other than stainless, in coils (excl. bars and rods);3,751;4,092;4,433
Algeria;Iron and steel;7301;"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel";3,3;3,6;3,9
Algeria;Iron and steel;7302;"Railway or tramway track construction material of iron or steel, the following : rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers ""cross-ties"", fish-plates, chairs, chair wedges, sole plates ""base plates"", rail clips, bedplates, ties and other material specialised for jointing or fixing rails";3,509;3,828;4,147
Algeria;Iron and steel;7303;Tubes, pipes and hollow profiles, of cast iron;3,157;3,444;3,731
Algeria;Iron and steel;730300;Tubes, pipes and hollow profiles, of cast iron;3,157;3,444;3,731
Algeria;Iron and steel;7304;Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron);3,63;3,96;4,29
Algeria;Iron and steel;73041100;Line pipe of a kind used for oil or gas pipelines, seamless, of stainless steel;3,63;3,96;4,29
Algeria;Iron and steel;730419;Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excl. products of stainless steel or of cast iron);3,3;3,6;3,9
Algeria;Iron and steel;73042200;Drill pipe, seamless, of stainless steel, of a kind used in drilling for oil or gas;3,63;3,96;4,29
Algeria;Iron and steel;73042300;Drill pipe, seamless, of a kind used in drilling for oil or gas, of iron or steel (excl. products of stainless steel or of cast iron);3,3;3,6;3,9
Algeria;Iron and steel;73042400;Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel;3,63;3,96;4,29
Algeria;Iron and steel;730429;Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excl. products of cast iron);3,3;3,6;3,9
Algeria;Iron and steel;730431;"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used for drilling for oil or gas)";3,3;3,6;3,9
Algeria;Iron and steel;730439;"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products, line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)";3,3;3,6;3,9
Algeria;Iron and steel;73044100;"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)";3,63;3,96;4,29
Algeria;Iron and steel;730449;"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines or of a kind used for drilling for oil or gas)";3,63;3,96;4,29
Algeria;Iron and steel;730451;"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)";3,201;3,492;3,783
Algeria;Iron and steel;730459;"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)";3,201;3,492;3,783
Algeria;Iron and steel;73049000;Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel (excl. products of cast iron);3,3;3,6;3,9
Algeria;Iron and steel;7305;"Tubes and pipes, having circular cross-sections and an external diameter of > 406,4 mm, of flat-rolled products of iron or steel ""e.g., welded, riveted or similarly closed""";3,3;3,6;3,9
Algeria;Iron and steel;7306;"Tubes, pipes and hollow profiles ""e.g., open seam or welded, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless tubes and pipes and tubes having internal and external circular cross-sections and an external diameter of > 406,4 mm)";3,96;4,29;4,29
Algeria;Iron and steel;73061100;Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm;3,63;3,96;4,29
Algeria;Iron and steel;73061900;Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron);3,3;3,6;3,9
